onset,rime,vq,F0,gender,group,df1,df2,choice,RT,pcp
f,a,creaky,-4,male,G3,p<f,-3,0,1484,718382
sh,a,modal,-4,male,G1,p<f,-3,0,1883,718382
sh,a,modal,0,male,G2,p>f,1,0,1171,718382
sh,a,creaky,-2,male,G3,p<f,-1,0,1254,718382
sh,a,creaky,-3,male,G3,p<f,-2,0,1557,718382
z,ao,modal,-6,male,G1,p<f,-5,0,1736,718382
z,ao,modal,5,male,G2,p>f,6,1,1688,718382
z,ao,creaky,0,male,G4,p>f,1,0,1251,718382
z,ao,creaky,4,male,G4,p>f,5,0,1957,718382
zh,ao,modal,-2,male,G1,p<f,-1,0,1522,718382
zh,ao,modal,4,male,G2,p>f,5,1,1883,718382
zh,ao,creaky,-6,male,G3,p<f,-5,0,1586,718382
zh,ao,creaky,5,male,G4,p>f,6,1,1803,718382
b,ao,modal,7,female,G1,p<f,-2,0,1961,719740
b,ao,creaky,14,female,G4,p>f,5,1,5150,719740
b,ao,creaky,4,female,G3,p<f,-5,0,1567,719740
b,ao,creaky,8,female,G3,p<f,-1,0,2823,719740
d,ao,modal,11,female,G2,p>f,2,1,1627,719740
d,ao,modal,15,female,G2,p>f,6,1,1724,719740
d,ao,modal,5,female,G1,p<f,-4,0,2876,719740
d,ao,creaky,12,female,G4,p>f,3,0,1762,719740
f,a,modal,13,female,G2,p>f,4,1,2797,719740
f,a,modal,4,female,G1,p<f,-5,0,5722,719740
f,a,creaky,13,female,G4,p>f,4,1,1976,719740
f,a,creaky,15,female,G4,p>f,6,1,2009,719740
sh,a,modal,14,female,G2,p>f,5,1,1684,719740
sh,a,modal,3,female,G1,p<f,-6,0,4324,719740
sh,a,creaky,5,female,G3,p<f,-4,0,1731,719740
sh,a,creaky,6,female,G3,p<f,-3,0,1540,719740
z,ao,modal,10,female,G2,p>f,1,0,3935,719740
z,ao,modal,6,female,G1,p<f,-3,0,2350,719740
z,ao,creaky,11,female,G4,p>f,2,0,2048,719740
z,ao,creaky,7,female,G3,p<f,-2,0,1825,719740
zh,ao,modal,12,female,G2,p>f,3,1,2431,719740
zh,ao,modal,8,female,G1,p<f,-1,0,1944,719740
zh,ao,creaky,10,female,G4,p>f,1,0,1740,719740
zh,ao,creaky,3,female,G3,p<f,-6,0,1902,719740
b,ao,modal,-2,male,G1,p<f,-1,0,1414,719740
b,ao,modal,-5,male,G1,p<f,-4,0,1591,719740
b,ao,modal,1,male,G2,p>f,2,1,1892,719740
b,ao,modal,5,male,G2,p>f,6,1,1323,719740
d,ao,modal,-4,male,G1,p<f,-3,0,1496,719740
d,ao,modal,0,male,G2,p>f,1,0,2830,719740
d,ao,creaky,-6,male,G3,p<f,-5,0,2406,719740
d,ao,creaky,0,male,G4,p>f,1,0,2723,719740
f,a,modal,3,male,G2,p>f,4,1,2346,719740
f,a,modal,4,male,G2,p>f,5,1,2739,719740
f,a,creaky,-2,male,G3,p<f,-1,0,1787,719740
f,a,creaky,2,male,G4,p>f,3,1,1867,719740
sh,a,modal,-3,male,G1,p<f,-2,0,1744,719740
sh,a,modal,-7,male,G1,p<f,-6,0,2292,719740
sh,a,creaky,1,male,G4,p>f,2,0,2191,719740
sh,a,creaky,4,male,G4,p>f,5,1,1904,719740
z,ao,modal,2,male,G2,p>f,3,1,1966,719740
z,ao,creaky,-3,male,G3,p<f,-2,0,1883,719740
z,ao,creaky,-5,male,G3,p<f,-4,0,2017,719740
z,ao,creaky,5,male,G4,p>f,6,0,4452,719740
zh,ao,modal,-6,male,G1,p<f,-5,0,3251,719740
zh,ao,creaky,-4,male,G3,p<f,-3,0,1570,719740
zh,ao,creaky,-7,male,G3,p<f,-6,0,1851,719740
zh,ao,creaky,3,male,G4,p>f,4,1,1959,719740
b,ao,modal,12,female,G2,p>f,3,1,3347,719740
b,ao,creaky,10,female,G4,p>f,1,0,1599,719740
b,ao,creaky,13,female,G4,p>f,4,0,1834,719740
b,ao,creaky,6,female,G3,p<f,-3,0,1266,719740
d,ao,modal,14,female,G2,p>f,5,1,1969,719740
d,ao,modal,8,female,G1,p<f,-1,0,1946,719740
d,ao,creaky,11,female,G4,p>f,2,0,1997,719740
d,ao,creaky,14,female,G4,p>f,5,0,2284,719740
f,a,modal,15,female,G2,p>f,6,1,1827,719740
f,a,modal,7,female,G1,p<f,-2,0,1993,719740
f,a,creaky,12,female,G4,p>f,3,1,4695,719740
f,a,creaky,5,female,G3,p<f,-4,0,4208,719740
sh,a,modal,11,female,G2,p>f,2,0,1831,719740
sh,a,modal,4,female,G1,p<f,-5,0,2294,719740
sh,a,creaky,3,female,G3,p<f,-6,0,2048,719740
sh,a,creaky,7,female,G3,p<f,-2,0,1419,719740
z,ao,modal,13,female,G2,p>f,4,1,2212,719740
z,ao,modal,5,female,G1,p<f,-4,0,1714,719740
z,ao,creaky,15,female,G4,p>f,6,0,2676,719740
z,ao,creaky,8,female,G3,p<f,-1,0,1943,719740
zh,ao,modal,10,female,G2,p>f,1,0,2251,719740
zh,ao,modal,3,female,G1,p<f,-6,0,2098,719740
zh,ao,modal,6,female,G1,p<f,-3,0,1644,719740
zh,ao,creaky,4,female,G3,p<f,-5,0,1640,719740
b,ao,modal,4,male,G2,p>f,5,1,1773,719740
b,ao,creaky,-3,male,G3,p<f,-2,0,1775,719740
b,ao,creaky,1,male,G4,p>f,2,0,1522,719740
b,ao,creaky,5,male,G4,p>f,6,1,4427,719740
d,ao,modal,-3,male,G1,p<f,-2,0,1792,719740
d,ao,modal,-6,male,G1,p<f,-5,0,1677,719740
d,ao,modal,-7,male,G1,p<f,-6,0,1408,719740
d,ao,creaky,2,male,G4,p>f,3,0,2063,719740
f,a,modal,-2,male,G1,p<f,-1,0,1846,719740
f,a,modal,5,male,G2,p>f,6,1,1954,719740
f,a,creaky,-6,male,G3,p<f,-5,0,1856,719740
f,a,creaky,3,male,G4,p>f,4,1,2379,719740
sh,a,modal,-5,male,G1,p<f,-4,0,1777,719740
sh,a,modal,3,male,G2,p>f,4,1,1797,719740
sh,a,creaky,-4,male,G3,p<f,-3,0,2202,719740
sh,a,creaky,0,male,G4,p>f,1,0,1367,719740
z,ao,modal,0,male,G2,p>f,1,0,2071,719740
z,ao,modal,1,male,G2,p>f,2,0,2700,719740
z,ao,creaky,-2,male,G3,p<f,-1,0,2022,719740
z,ao,creaky,-7,male,G3,p<f,-6,0,1487,719740
zh,ao,modal,-4,male,G1,p<f,-3,0,1498,719740
zh,ao,modal,2,male,G2,p>f,3,1,2014,719740
zh,ao,creaky,-5,male,G3,p<f,-4,0,1341,719740
zh,ao,creaky,4,male,G4,p>f,5,1,1995,719740
b,ao,modal,11,female,G2,p>f,2,0,1762,719740
b,ao,modal,13,female,G2,p>f,4,1,1594,719740
b,ao,modal,8,female,G1,p<f,-1,0,1528,719740
b,ao,creaky,7,female,G3,p<f,-2,0,1539,719740
d,ao,modal,4,female,G1,p<f,-5,0,2804,719740
d,ao,creaky,10,female,G4,p>f,1,0,1556,719740
d,ao,creaky,5,female,G3,p<f,-4,0,1917,719740
d,ao,creaky,6,female,G3,p<f,-3,0,1183,719740
f,a,modal,12,female,G2,p>f,3,1,4524,719740
f,a,modal,6,female,G1,p<f,-3,0,1993,719740
f,a,creaky,11,female,G4,p>f,2,0,2359,719740
f,a,creaky,3,female,G3,p<f,-6,0,2081,719740
sh,a,modal,10,female,G2,p>f,1,0,2217,719740
sh,a,modal,15,female,G2,p>f,6,1,1647,719740
sh,a,creaky,12,female,G4,p>f,3,0,1691,719740
sh,a,creaky,13,female,G4,p>f,4,1,1855,719740
z,ao,modal,14,female,G2,p>f,5,1,2128,719740
z,ao,modal,3,female,G1,p<f,-6,0,2065,719740
z,ao,creaky,14,female,G4,p>f,5,1,2027,719740
z,ao,creaky,4,female,G3,p<f,-5,0,1827,719740
zh,ao,modal,5,female,G1,p<f,-4,0,1898,719740
zh,ao,modal,7,female,G1,p<f,-2,1,2039,719740
zh,ao,creaky,15,female,G4,p>f,6,1,1937,719740
zh,ao,creaky,8,female,G3,p<f,-1,0,1969,719740
b,ao,modal,-3,male,G1,p<f,-2,0,1769,719740
b,ao,creaky,-2,male,G3,p<f,-1,0,1144,719740
b,ao,creaky,-4,male,G3,p<f,-3,0,1746,719740
b,ao,creaky,3,male,G4,p>f,4,1,1590,719740
d,ao,modal,1,male,G2,p>f,2,0,2495,719740
d,ao,modal,2,male,G2,p>f,3,0,1801,719740
